loss,id
1540.85473633,4
1987.24853516,6
9215.20898438,9
5783.28417969,12
846.630737305,15
2477.6171875,17
2086.45727539,21
834.075195312,28
2299.48779297,32
3060.17041016,43
2786.02246094,46
968.295410156,50
1300.17895508,54
1892.43017578,62
2201.82617188,70
4670.02441406,71
2088.41088867,75
2205.12915039,77
2537.7199707,81
2230.87182617,83
1983.71264648,87
1527.46630859,97
1305.25219727,103
1193.72741699,119
1774.24279785,120
1024.09228516,127
4267.83935547,138
3738.19091797,141
764.41986084,148
2494.60351562,150
2107.99047852,151
1630.20568848,158
5638.97119141,160
2762.06469727,165
3628.1003418,168
3748.12597656,169
2748.96386719,177
2951.75170898,178
1919.3293457,184
9190.1015625,194
1843.38415527,198
3938.95019531,203
2489.12133789,211
1266.17590332,217
1394.80151367,219
4188.39453125,221
1686.16369629,227
1525.48718262,230
2001.68994141,235
735.710998535,240
2945.72192383,243
7066.42578125,249
2851.06152344,253
1469.5168457,258
1717.51147461,261
3557.55419922,263
2475.5546875,264
4208.53320312,265
1643.4901123,268
1113.90002441,271
5224.93164062,274
706.04864502,275
1613.30310059,279
1501.80957031,282
3025.34887695,286
1266.68786621,288
2307.59716797,294
1005.66967773,296
1527.88806152,297
844.54675293,300
8636.54980469,303
1156.58349609,314
4503.82373047,315
2489.16235352,321
4154.06542969,323
3584.83691406,330
1776.21789551,341
3953.3828125,342
1653.45275879,352
3647.90942383,353
4948.42333984,360
2134.35693359,361
4334.87939453,362
1258.2512207,366
3562.83618164,372
2735.59765625,376
2385.18798828,377
1506.66589355,379
3703.14135742,380
1806.70812988,387
1973.34838867,392
9763.58007812,394
1566.8001709,395
1447.06347656,397
5900.88671875,407
8894.72558594,411
2690.02905273,416
1564.67077637,417
3605.08251953,419
5417.05126953,428
1824.84094238,431
8924.40234375,436
1500.85144043,438
7085.52197266,445
7090.31054688,446
1286.24914551,455
1321.23913574,456
920.086425781,461
1899.98681641,463
3791.68725586,464
1725.53881836,466
1489.02734375,467
1267.62451172,470
1454.65112305,475
3235.97338867,482
3182.06469727,490
1674.03039551,496
3899.74414062,497
2855.48168945,508
1890.45263672,510
1757.19384766,512
3259.4230957,513
1924.32226562,523
4730.87207031,531
2284.28808594,532
1370.72265625,533
1164.95898438,537
4691.56640625,544
2828.60595703,547
7593.70751953,556
1276.13305664,565
1168.84631348,566
1426.64465332,571
1483.36694336,573
922.842529297,574
2028.53417969,581
1956.29956055,585
2079.33911133,589
1688.93310547,597
3515.01000977,601
1767.50549316,602
1659.85449219,613
1459.86828613,616
